Timestamp,PerformedBy,Action,Friend Name,Status,Message
2024/10/24 18:16:28,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/sakshichopra.pbt,Failed,hi
2024/10/24 18:16:38,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/syedmohammad.abair,Failed,hi
2024/10/24 18:16:50,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/mukul.kashyap.355744,Failed,hi
2024/10/24 18:16:58,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/yasirarafat.yasir.10,Failed,hi
2024/10/24 18:17:05,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/parth.sharma.18041,Failed,hi
2024/10/24 18:17:16,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/archit.gangwar.583,Failed,hi
2024/10/24 18:17:26,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/sumbul.atique,Failed,hi
2024/10/24 18:17:34,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/yusra.sanan,Failed,hi
2024/10/24 18:17:45,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/sana.rizwan.351,Success,hi
2024/10/24 18:17:51,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/sabiha.sultana.75641,Failed,hi
2024/10/24 18:17:57,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/mohd.hamd.902,Failed,hi
2024/10/24 18:18:03,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/syedabdul.rasheed.961,Failed,hi
2024/10/24 18:18:10,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/warikmohd,Failed,hi
2024/10/24 18:18:17,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/anshum.awasthi.52,Failed,hi
2024/10/24 18:18:24,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/asha.awasthi.9469,Failed,hi
2024/10/24 18:18:31,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/vivek.bharti.946517,Failed,hi
2024/10/24 18:18:36,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/zakiasultana.sultana.9484,Failed,hi
2024/10/24 18:18:36,hammadalipbt18@gmail.com,message_friend,https://www.facebook.com/syed.adeelanwar.5,Failed,hi
2024/10/24 18:18:36,shibbuquadir@gmail.com,message_friend,https://www.facebook.com/syed.adeelanwar.5,Failed,hi
